user,created_at,text
Luigi_64DD,2020-04-20 23:59:34+00:00,Is... is that a giant flesh Coronavirus?
DiegoGarcesTV,2020-04-20 23:59:34+00:00,I am confused: I thought if you violated the Stay at Home orders and gathering on +10 people you would get thrown in jail or fined. Why aren’t these protesters getting fined? Stop blocking roads and creating traffic. #coronavirus
ColleenD5000,2020-04-20 23:59:34+00:00,"Watch ""The Epoch Times Live: Members of the Coronavirus Task Force Hold a Press Briefing"" on YouTube https://youtu.be/n9065xO7Ui4 #Trump2020 @realDonaldTrump"
RanDomN86106811,2020-04-20 23:59:34+00:00,Hero and a Good Man. 英雄和好人。The Story Of Coronavirus Whistleblower: Dr Li Wenliang https://youtu.be/W-LL9vK_Uh4 via @YouTube
autodog5150,2020-04-20 23:59:33+00:00,Army resumes sending recruits to basic training after coronavirus triggers 2-week pause 
UkaCharles1,2020-04-20 23:59:33+00:00,"THERE IS AN UGLY FOOTBALL MATCH CURRENTLY HAPPENING IN NIGERIA BETWEEN ""CORONA-VIRUS -VS - OUR SECURITY AGENCIES"" ON WHO WILL KILL NIGERIANS MOST FOR NOW @PoliceNG IS AT THE FIRST POSITION OF THE LEAGUE @MBuhari @DrAhmadLawan @NhrcTweets @femigbaja @aishambuhari @atiku @GarShehu"
AngelSu88003118,2020-04-20 23:59:33+00:00,"Seriously? Here is the science: update today from #Savannah hospital- far from overwhelmed, both major hospitals have plenty of tests, even area private practices have testing! More #FakeNews !"
JimmyVielkind,2020-04-20 23:59:33+00:00,Trump invites Cuomo to White House for meeting on coronavirus response https://www.foxnews.com/politics/trump-cuomo-white-house-coronavirus-meeting
JenniPxox,2020-04-20 23:59:33+00:00,"@SullyErna add some drum beats https://youtu.be/oTs8COjKXXg my nephew graduated, and, no one was allowed to attend bc of the #coronavirus #AirForceSalutes #eyeamapunk"
LoadedCrew,2020-04-20 23:59:33+00:00,Trending UK reports 449 more coronavirus passings - the least for a fortnight http://dlvr.it/RV7mcL Visit site for more
Voice_OfReality,2020-04-20 23:59:32+00:00,When the Wuhan China Corona Virus is all said and done @SpeakerPelosi will be thought of as the most evil woman on earth. And @HillaryClinton is still on earth.
927MixFM,2020-04-20 23:59:32+00:00,PODCAST: Nominate a forgotten frontline worker https://player.whooshkaa.com/episode?id=629963 @MySunshineCoast @SCC_Alliance #JobKeeper #auspol #COVID2019AU #coronavirus #CoronavirusOutbreak #HealthForAll #COVID2019 #WashYourHands #covid19 #Coronaaustralia
JennJennRN333,2020-04-20 23:59:32+00:00,"New York nurses say hospitals are turning into a ""petri dish"" for coronavirus in lawsuit filed against state's Dept. of Health "
ewilsonholmes1,2020-04-20 23:59:32+00:00,The Coronavirus Outbreak 
rudolphgl,2020-04-20 23:59:32+00:00,The WHO has warned that Africa could be the next epicenter of the coronavirus pandemic. https://www.huffpost.com/entry/africa-coronavirus-ventilators-millions-death_n_5e9c150dc5b635d25d6de445?ncid=engmodushpmg00000004 via @HuffPost
IndyWorld,2020-04-20 23:59:32+00:00,Iran to reopen malls and bazaars despite coronavirus fears 
original_lebwel,2020-04-20 23:59:32+00:00,Trump Falsely Claims He Hasn’t Left the White House in ‘Months’ at Coronavirus Briefing https://www.thedailybeast.com/trump-falsely-claims-he-hasnt-left-white-house-in-months-at-coronavirus-briefing?source=twitter&amp;via=desktop via @thedailybeast
FiFiEarthAngel,2020-04-20 23:59:32+00:00,Amazon warehouse workers plan national coronavirus protest. Safer work environments are key. One cannot just declare “ we are open” without protecting its workers 
RoseSpitznogle,2020-04-20 23:59:31+00:00,Like Coronavirus: It Never Stops
UWproteindesign,2020-04-20 23:59:31+00:00,"Vaccine researcher Neil King (@KingLabIPD) was interviewed for this upcoming PBS documentary. ""Coronavirus Pandemic"" premiers @frontlinepbs and streams on Tuesday, 4/21 at 9 p.m. @baltimoresun calls it “an essential document from which later drafts of history will be written.”"
247wagering,2020-04-20 23:59:31+00:00,Question: How many Corona virus death NOT really Corona virus deaths?
kemusicadenza,2020-04-20 23:59:31+00:00,"County Reports Two More Deaths, Two New Coronavirus Cases "
milohagie,2020-04-20 23:59:30+00:00,If Ducey does open up Arizona for the Coronavirus to spread he will be responsible for ever COVID-19 death that follows. When he has to shut everything down again he will be responsible for the additional unnecessary economic damage. We need widespread TESTING before opening!
nanciedance,2020-04-20 23:59:30+00:00,"Americans trust Dr Fauci and Andrew Cuomo more than Trump about coronavirus, poll finds "
MsPP01,2020-04-20 23:59:30+00:00,Opinion: The #coronavirus Is Mutating. What Does That Mean for a Vaccine?!? RT https://www.nytimes.com/interactive/2020/04/16/opinion/coronavirus-mutations-vaccine-covid.html?utm_source=pocket-newtab
mindgomes,2020-04-20 23:59:30+00:00,Compare that thread by @ajitxsingh to this article by Whitney Webb where she creates documentation-laden *speculation* which *suggests* DARPA conducted experiments at Wuhan Institute of Virology to weaponize CoronaVirus. 
NoobRydar,2020-04-20 23:59:30+00:00,"I’m some what of naturalist. I resort to herbal remedies whenever I don’t feel well. I kinda practice non traditional medicine. For example, I’m taking resveratrol to protect myself from the coronavirus."
DavidPJablonski,2020-04-20 23:59:29+00:00,Coronavirus: Andy Dalton and wife commit cash to fight against spread of disease 
ThotPolitics,2020-04-20 23:59:29+00:00,Either of the Independents
mixedcircuits,2020-04-20 23:59:29+00:00,"Since other coronavirus Abs are cross-reactive w SARS-CoV, it's probable that the Abs developed against the other 4 coronaviruses will be cross-reactive w SARS-CoV2 https://pubmed.ncbi.nlm.nih.gov/15897988/ &amp; https://pubmed.ncbi.nlm.nih.gov/18191362/ cc @jenhab"
Charlie80433578,2020-04-20 23:59:29+00:00,"In spite of several states loosen stay at home orders, WHO chief believe thes worst of the Coronavirus is yet to come #S20mcj2034/20"
sakak,2020-04-20 23:59:29+00:00,"“”Swiss drugmaker Roche aims next month to be able to offer blood tests to identify those who have been infected with the coronavirus, joining a huge global push to inform locked-down nations about who might have some immunity and return to work. "
X2JMG,2020-04-20 23:59:26+00:00,Andy Puzder: ⁦@realDonaldTrump⁩ coronavirus guidelines will get us back to normal and safeguard public health victories 
Angelia_Wagner,2020-04-20 23:59:26+00:00,"""New Zealand's prime minister [Jacinda Ardern] may be the most effective leader on the planet"" #womeninpolitics #genpol #nzpoli #Covid-19 #Coronavirus @TheAtlantic"
smcchistory,2020-04-20 23:59:26+00:00,Coronavirus positive: good news round-up - Australians use exercise allowance to surf' | via @telegraph
MdFacep,2020-04-20 23:59:25+00:00,Timeline of the Coronavirus Pandemic and U.S. Response https://www.justsecurity.org/69650/timeline-of-the-coronavirus-pandemic-and-u-s-response/ via @just_security
parthaekka,2020-04-20 23:59:25+00:00,The Infection That’s Silently Killing Coronavirus Patients I realized that we are not detecting the deadly pneumonia the virus causes early enough and that we could be doing more to keep patients off ventilators — and alive. 
SLS_Legal,2020-04-20 23:59:25+00:00,China calls for stronger testing regime to detect coronavirus https://uk.reuters.com/article/us-health-coronavirus-china-toll/china-calls-for-stronger-testing-regime-to-detect-coronavirus-idUKKBN22201Z?feedType=RSS&amp;feedName=healthNews
samehelbarqy,2020-04-20 23:59:25+00:00,"Georgia governor's decision to reopen some businesses is ""reckless,"" Savannah mayor says #coronavirus #CoronaVirusUpdate #CoronavirusLockdown #CoronavirusUSA #coronavirusuk #FlattenTheCurve #CoronavirusCrisis #COVIDー19 #Covid_19 #COVIDIOT"
waqas_techlover,2020-04-20 23:59:24+00:00,Coronavirus Outbreak: The Impact and Role Of Technology 
MEDIABOXSTORE,2020-04-20 23:59:24+00:00,These 4 #States Are #Reopening #Businesses Over The Next Two #Weeks As The #Coronavirus… 
swochholz,2020-04-20 23:59:24+00:00,A Michigan inmate who had been in prison for 44 years died from the coronavirus just weeks before... https://news.yahoo.com/michigan-inmate-had-prison-44-163754614.html?soc_src=community&amp;soc_trk=tw via @Yahoo
JenJoyCampbell,2020-04-20 23:59:24+00:00,"@dagenmcdowell Hi Dagen! I pray you are doing well. I invite you to watch my new video (recorded from home) titled, ""You've Got a Friend!"" I hope it encourages everyone in #quarantine. https://www.facebook.com/jenniferjoycampbell/videos/10158172548013560/ #StayHome #coronavirus #COVID19"
CPBacon4CO,2020-04-20 23:59:23+00:00,Let them eat Ice Cream ~Nancy Antoinette~ #DoingMyPartCO #Copolitics #Coleg #Cogov #Cosen #CoronaVirus #WuhanVirus #Covid19 #DenverLockDown #ColoradoShutDown
Emily80903292,2020-04-20 23:59:23+00:00,Countries Reopen After Flattening Coronavirus Curve 
SikiraT,2020-04-20 23:59:23+00:00,"I feel like this is why a lot of ppl arent taking covid19 seriously, look at this paper we got in sept 2019 the guidelines were last updated sept 2018 and the “if symptoms get worse” are almost identical to the novel coronavirus... cant breathe...fever.. coughing spells... "
JayHiggies,2020-04-20 23:59:22+00:00,"Agreement on $470B 'phase 3.5' coronavirus stimulus package now imminent, sources say (@HouseGOP how did this pkg increase by $200B!?) https://fxn.ws/2VlW9Bo #FoxNews"
LCorneliusSull1,2020-04-20 23:59:22+00:00,Why do people think persecuting Hollywood assholes and other commies is a bad thing?
irritatedwoman,2020-04-20 23:59:20+00:00,"MEDIA AMNESIA: How the Media, Democrats Botched the Growing Coronavirus Crisis Coverage | Sean Hannity "
MotherOfMen_,2020-04-20 23:59:19+00:00,The coronavirus is teaching us four big lessons. Will we listen? 
UkaCharles1,2020-04-20 23:59:19+00:00,"THERE IS AN UGLY FOOTBALL MATCH CURRENTLY HAPPENING IN NIGERIA BETWEEN ""CORONA-VIRUS -VS - OUR SECURITY AGENCIES"" ON WHO WILL KILL NIGERIANS MOST FOR NOW @PoliceNG IS AT THE FIRST POSITION OF THE LEAGUE @MBuhari @DrAhmadLawan @NhrcTweets @femigbaja @aishambuhari @atiku @GarShehu"
ksorbsinnrvoice,2020-04-20 23:59:19+00:00,* With a flu vaccine. So let's just vaccinate everyone for Coronavirus and that'll be th... Oh wait. We can't.
chs_hospitality,2020-04-20 23:59:19+00:00,"Industry partners - here is your Coronavirus update for Monday, April 20: https://bit.ly/3anMUEX #chshospitality"
sarkar_swati,2020-04-20 23:59:19+00:00,"India's Coronavirus-Related Islamophobia Has the Arab World Up in Arms. Mindboggling, given that the laws in various Arab countries are deeply discriminatory, ⁦@narendramodi⁩ needs to care more about India than his awards there."
DomStampone,2020-04-20 23:59:18+00:00,Coronavirus: Hope as Italy records first fall in active virus cases 
MajesticTunder,2020-04-20 23:59:18+00:00,"Then go outside without a mask Tomi. U when u catch coronavirus, dont go to a hospital. Save the hospital beds for the rest of us"
mark_vallen,2020-04-20 23:59:18+00:00,"#Liberals &amp; #democrats say Pres. #Trump racist for calling #Covid_19 ""#ChineseWuhanVirus""—but remain SILENT over racial scorn &amp; discrimination black #Africans in #China suffer from #Chinese who think blacks responsible for #Coronavirus! #AfricansinChina"
AlArabiya_Eng,2020-04-20 23:59:18+00:00,Watch: New Yorker who survived #coronavirus talks about the fear of not being able to get tested when exhibiting #COVID_19 symptoms. https://english.alarabiya.net/en/webtv/reports/2020/04/20/Surviving-coronavirus-I-couldn-t-catch-my-breath-says-New-Yorker.html
akaAlexisT,2020-04-20 23:59:17+00:00,Can I like block the coronavirus from every single social platform? I honestly could care less and people won't shut up
basedon_99,2020-04-20 23:59:16+00:00,cloud mains are worried about the coronavirus despite never being sick
jo_williams5,2020-04-20 23:59:16+00:00,Chile to Issue Coronavirus ‘Immunity Cards’ to Those Who Recover 
MaryHartmanx2,2020-04-20 23:59:16+00:00,Dude you’re embarrassing yourself
dailydigger19,2020-04-20 23:59:15+00:00,"""Global digital platforms Google and Facebook will be forced to pay for news content in Australia, the government said Monday, as the #Coronavirus pandemic causes a collapse in advertising revenue."" "
