user,created_at,text
Peaches_Sabrina,2020-04-20 23:45:11+00:00,And trump hasn't left the WH since early outside of that quick trip to Norfolk.
imcharlottegirl,2020-04-20 23:45:07+00:00,Yes. As he stopped calling it China/Chinese virus. Too many are getting hurt by his ignorance.
mrcleansedotcom,2020-04-20 23:44:56+00:00,someone is not following social distancing rules
SamoanChef,2020-04-20 23:44:38+00:00,WHO also said that the virus wasn’t human to human transmission #Chinese Virus #WuhanVirus #ChinaLiedPeopleDied #CCPVirus
Anschutz2012,2020-04-20 23:44:20+00:00,Those of us demanding Ohio open have been absolutely adamant about one thing: Those like you in the risk group should self quarantine and we will take care of you and the economy.
MichaelDRudolp1,2020-04-20 23:44:17+00:00,2 testing sites in Southern California Riverside and Sherman Oaks for #ChineseVirus #ChinaVirus #WuhanVirus #COVID19 NOT SO BUSY at all. #ReOpenCalifonia #RecallGarcitti #RecallGavinNewsom
mrcleansedotcom,2020-04-20 23:43:58+00:00,self hate is self extinquishing.... taking the good and bad with it
m1rupe,2020-04-20 23:43:41+00:00,@realDonaldTrump I think you were given a deeply flawed model to make your original decisions. The group that presented the original model should answer why current Chinese virus data is so different than original projections. I think the American people are owed an explanation.
chetconvoy,2020-04-20 23:43:35+00:00,50k from designer talk 2.. now we just count down.
nolaSteveSwain,2020-04-20 23:43:10+00:00,"So basically you’re trying to say that Jews are not very well read or educated. That’s on you, not Jews."
chetconvoy,2020-04-20 23:43:02+00:00,U can find saks fifth snippet on SoundCloud
Anschutz2012,2020-04-20 23:42:28+00:00,The deaths from severe economic downturn will kill more than this virus. People were one half to one generation removed from agrarian lifestyles when the Great Depression hit. How many generations away from self sufficiency are we now?
9cc7bcf02eee4d3,2020-04-20 23:42:11+00:00,Chinese virus. https://twitter.com/anthony_2049/status/1252315796937809922
JamesHa05069518,2020-04-20 23:41:50+00:00,Wash your hands and let’s get back to work. No more Nanny State. 76% of people don’t know one person who has had the Chinese Virus. The flu is worse. Enough!
mrcleansedotcom,2020-04-20 23:41:32+00:00,we have excess invader/immigrants....there is opportunity given this....they should all learn to use a straw...if they can't....we should send them back... #maga #americafirst
lion202020201,2020-04-20 23:41:27+00:00,"Chinese virus brings loss of 20,000+ lives to USA.Also, China annually exports 50,000+ pregnant women to USA to pollute American gene pool.Time for USA to halt blind openness and generosity. Please include criminalizing passport theft via pregnancy in #MakeChinaPay list!"
DREIDPIPER1,2020-04-20 23:40:54+00:00,More fake news from the fake news party...Let's try once more! The (American born) Shitbamavirus was responsible for killing over 500K. The Chinese virus (Non-American) is at about 40K. We shouldn't even discuss the 3K military personnel Obama killed for no good reason.
Pinkman131,2020-04-20 23:40:27+00:00,When you are watching techrnobyl during luckdown and then realize how small it was compared to the Chinese virus
WesleyStearman,2020-04-20 23:40:23+00:00,Chinese virus
AnAmericanIam,2020-04-20 23:39:37+00:00,"@parscale ready for #TechMoguls fight you to take this adv down. YT/FB/Twitter BTW, your wonderful senator stooges like #MumbaiMike will agree with them too. BTW, #JobWellDone. Thanks to all our doctors, nurses, service members, front line people in this #ChineseVirus #pandemic"
Anschutz2012,2020-04-20 23:39:08+00:00,Yet she still fucked up epically. Thank you for pointing out the necessity to fire Amy for these very serious errors.
Fempop,2020-04-20 23:38:52+00:00,"The Flu also had a vaccine available& enforced for the vulnerable population to get. The Flu still killed many more &amp; the economy wasn’t shut down. SA nurses are furloughed as Hospital closed nursing unit’s designated for Chinese virus, yet beds remain Emptied. What a scam "
BlueLibertas,2020-04-20 23:38:50+00:00,Absolutely horrifying what happened to the Japanese-Americans. I hate to be a Chinese American right now because it's a Chinese virus people are jerks!
3stars4genflynn,2020-04-20 23:38:30+00:00,"Something just is not right, hospitals, and nursing homes are classifying regular deaths and people who aren’t even tested with #ChineseVirus and the math is not adding up. Sinister."
Sameers29433485,2020-04-20 23:38:29+00:00,"Replace the topic name with""Chinese Virus"" "
mrcleansedotcom,2020-04-20 23:38:24+00:00,gate's vaccine chipping...and Fauci gets a royalty for his patents....we should be proud to serve
ubetcha58,2020-04-20 23:38:24+00:00,"If you get hit and run over by a bus, you must have died from the Chinese Virus. "
tarleton81,2020-04-20 23:38:12+00:00,"Seeing as how 95% of people recover from #ChineseVirus , I think I'm good. I'm fact, 99% of non-obese, non-prisoners, in recent health under age 60 have zero to worry about."
IDFAmerica,2020-04-20 23:38:11+00:00,Don't worry we have our best scientist on the research
bababue7,2020-04-20 23:38:09+00:00,Same thing here in the Danville area. Trumptards everywhere. Wife on the frontlines. My theory is that these idiot protestors should be DENIED healthcare when they come down with the “Chinese” virus as my neighbor called it.
Anschutz2012,2020-04-20 23:37:59+00:00,"For example, Amy."
CarltReim,2020-04-20 23:37:40+00:00,"LOL! But Donald Trump calls this the Chinese virus. OK, let's see how that goes for them now."
Anschutz2012,2020-04-20 23:37:34+00:00,"For those who are not in the risk group who choose not to go back to work, we should enact laws that exempt them from unemployment claims and immediately replaceable by their employers without risk of punishment to employers for not holding the spot for them."
MarkPatrick2000,2020-04-20 23:37:33+00:00,I would rather hear it from the President and the professionals in our government handling the Chinese virus !
PatriotBroker,2020-04-20 23:37:33+00:00,And it looks like you cut her hair. I wonder if you or your mail order bride got #ChineseVirus if you would take #Hydroxychloroquine @GovSisolak must resign
ThatMartyGuy1,2020-04-20 23:37:14+00:00,Guarantee when we see indictments start rolling out Trump will be accused of trying to distract from the Chinese virus.
cigarmanbb,2020-04-20 23:37:06+00:00,"Again ""families and businesses"" are in trouble .. CHINESE VIRUS #thestory #cnn #msnbc"
IDFAmerica,2020-04-20 23:36:53+00:00,Some good info
zeusFanHouse,2020-04-20 23:36:47+00:00,"Mainstream media r out in force defending #Microsoft founder #BillGates, alleging has become“right-wing target” due 2 his involvement in #Chinese #virus vaccine development https://www.breitbart.com/the-media/2020/04/20/mainstream-media-rallies-to-bill-gates-defense/ #QAnon #QAnon2018 #QAnon2020 #DemocratsHateAmerica #MSMHatesAmerica #WO2020060606"
7ftvonn,2020-04-20 23:36:39+00:00,Ight fuck it. We gone call it the Chinese virus. They exotic animal eatin Ass. They the reason shit be goin extinct 
mlpsouza,2020-04-20 23:36:31+00:00,"We ask for the international society to bring justice for those who are willing to take over the government, using the virus as an escuse to do so. #Enough #FechadosComBolsonaro #ChineseVirus @realDonaldTrump help Brazilian people"
yogendrapal72,2020-04-20 23:36:28+00:00,"#France is the fourth country to record more than 20,000 deaths from the coronavirus, following the US, Italy and Spain #coronavirus #coronarvirues #CoronaOutbreak #Wuhan #China #COVID19 #COVID #CoronaVirusUpdate #ChineseVirus #WuhanVirus #US #Italy #Spain #WHO #COVIDー19"
chevz28aero,2020-04-20 23:36:05+00:00,Doctors are not giving this treatment until it’s too late. . #CoronaUpdate #COVID19 #COVID2019IRELAND #FilmYourHospital #TheLockdown #MAGA #Quarantine #StayHome #coronavirus #GetWellSoon #ChineseVirus @Scavino45 @realDonaldTrump
Denisemccaffer7,2020-04-20 23:35:27+00:00,@realDonaldTrump some folks in Pennsylvania are saying that they can't get tested for the Chinese virus. No swabs? Can you please assist @GovernorTomWolf to spread the word that testing is available and how to get it.
tcsorr,2020-04-20 23:35:11+00:00,Trump didn't create the Chinese virus!
JerryKarenNeff,2020-04-20 23:34:40+00:00,NEVER Believe or Trust ANYTHING Facebook Launches Interactive Chinese Virus ‘Symptom Map‘ https://www.breitbart.com/tech/2020/04/20/facebook-launches-interactive-chinese-virus-symptom-map/ via @BreitbartNews
F3Eggo,2020-04-20 23:34:30+00:00,"Everyone is freaking out that we're crossing over 40,000 deaths for the #ChineseVirus. Apart from the accuracy of those numbers, we have to keep in mind that, on average, 45,500 people die in our country EVERY WEEK without the virus. That is 182k a month. Y'all need to calm down!"
MaryWms12,2020-04-20 23:34:21+00:00,"Stop with the""Chinese virus"" it's not appropriate and makes you sound like an ass. Use the term Covid-19 or coronavirus."
chetconvoy,2020-04-20 23:34:16+00:00,I’m so sick of coronavirus
mlaster206,2020-04-20 23:34:13+00:00,Look what they came up with. The man made Chinese virus.
hangingoutyall,2020-04-20 23:33:34+00:00,"If someone dies in a car accident and is found to have the Chinese virus, the death is attributed to it. How can they do that when they were alive with the virus? They are skewing the numbers to make it as bad as possible and then blame it on Trump. "
Anschutz2012,2020-04-20 23:33:16+00:00,Nope. Those numbers were assuming my strict social distancing.
Emu52May,2020-04-20 23:33:04+00:00,Now what was that test he had for Covid 19 virus or rather the Chinese virus? Can they find the actual virus or is it just a piece of RNA?
miksu2006,2020-04-20 23:32:58+00:00,"#drbirx...Have u been watching #Maine's #chineseVirus cases?? They r going UP..if Maine opens their beaches/hotels, the virus will spread like wildfire on a dry windy day...it is called ""vacationland""...people go from New York, Boston/#massachusetts! @GovJanetMills #ChinaVirus"
Robertat9934,2020-04-20 23:32:44+00:00,"General democrat response to the Communists Chinese virus is to close churches, gun shops , keep abortion clinics open. Release felons to murder again. Lock up &amp; fine citizens. Subsidizes illegals. Ban life saving drugs.And complain about my landscapers try to make a living."
mrcleansedotcom,2020-04-20 23:31:48+00:00,I read somewhere Trump was cutting off funding to the Wuhan labs which Obama had funded with a lot of our taxes
TEAMDANC,2020-04-20 23:31:34+00:00,Hey why don't you google it Moron!
lion202020201,2020-04-20 23:31:05+00:00,"Chinese virus brings loss of 20,000+ lives to USA.Also, China annually exports 50,000+ pregnant women to USA to pollute American gene pool.Time for USA to halt blind openness and generosity. Please include criminalizing passport theft via pregnancy in #MakeChinaPay list!"
3stars4genflynn,2020-04-20 23:31:02+00:00,"So who was it April Ryan who asked about @realDonaldTrump having a rally amidst the #chinesevirus outbreak. How come nobody died from that rally. We were all right next to each other. Just saying and the rally before that, and the Dem townhalls nobody died. Debate, same."
