user,created_at,text
mandycraggs1,2020-01-30 19:57:03+00:00,I will NOT be getting any Chinese virus!!! Steer clear you jerks!!! 
ikvecom,2020-01-30 19:52:37+00:00,"Today, at the beginning of the world, there is the Chinese virus trouble. Everyone should be informed and take precautions. We @coranavirus team As we will continue to inform people. We look forward to your support. #WuhanChina #Wuhan #coronavirues #chinaVirus"
tripledune,2020-01-30 19:51:13+00:00,why the mask? she got the chinese virus or what
TheSNFD,2020-01-30 19:41:11+00:00,We trust you more than Fake Chinese virus ....
CharlieHudson2,2020-01-30 19:40:32+00:00,I’m actually worrying that I have this Chinese virus. I’m so ill 
CarolineCreator,2020-01-30 19:37:58+00:00,"If they were, we would not know for certain for a while. I believe the chinese virus is a cover for their financial woes. They are toast. Imagine a world where we have no debt, free energy, health and wonder. Banks must have reserves against which to loan. They dont. Already bust"
WestHamRambles,2020-01-30 19:28:09+00:00,"God: I'll cut you a deal, you can win the Premier League at a canter, but you'll all the die of some dodgy Chinese virus. Scousers: Dat's sound la'. "
globaltimesnews,2020-01-30 19:20:02+00:00,"More than 46,000 Chinese have signed a petition on @Change requiring Australian media @dailytelegraph and @theheraldsun to apologize for ""race discrimination."" The tabloids labeled the novel coronavirus as ""Chinese virus"" and hyped xenophobia sentiments. http://bit.ly/38W1XFp"
bitcashio,2020-01-30 19:17:51+00:00,"it is not going to happen, it's still basically a chinese virus and not a very deadly one at that... until it mutates and turns everyone into ZOMBIES"
GrannySeniors,2020-01-30 19:13:25+00:00,Why don't you both be the greeters at the airports for these possible Chinese virus carriers. 
EurekaStockade3,2020-01-30 19:12:14+00:00,Jan was a busy month for the Globalist IllumiNazis Fake Impeachment Fake Killing of Soleimani Fake Iranian missile strikes Fake Chinese virus Fake helicopter crash Israeli Deal New NAFTA Deal Brexit #qanon
robertdarby6001,2020-01-30 19:05:15+00:00,CDC Confirms First Case Of Person-to-Person Transfer of Deadly Chinese Virus Inside USA 
CeriCollins,2020-01-30 19:03:28+00:00,Anyone got any of that Chinese virus knocking round please? 
TCMaefield,2020-01-30 18:54:11+00:00,New Israeli Masks Could Help Stop Deadly Chinese Virus | United with Israel 
EirikrHinnRaudi,2020-01-30 18:53:46+00:00,>Chinese Virus &gt;Chinese people &gt;Is cautious towards Chinese people who came here from China &gt;Is then called racist for being scared for my own health and well being 
mammalibog,2020-01-30 18:52:27+00:00,"Anyone who says “chingchong” in my feed will be instantly blocked. The virus that has been circulating is not a “chinese” virus, just like ebola isn’t an “african” virus. The virus originated in china but being racist to chinese people already residing here is shitty as fuck"
BRJ259,2020-01-30 18:51:16+00:00,Rojo leaves and now I’m gonna die from a Chinese virus. Happy 2020
MpM46343799,2020-01-30 18:49:17+00:00,"Time to take the vote, America is now ready to hang it up, they are far to worried about the Chinese Virus."
jay11w,2020-01-30 18:41:46+00:00,"Chinese virus, that's what it is!"
dga965,2020-01-30 18:38:32+00:00,"More about the Chinese virus. Today, a friend of mine returned from China (a resort on Hainan Island). Very strict control at the airport upon departure and upon arrival. And now she is obliged to undergo a medical examination every three days (for free)."
SharmaShailley,2020-01-30 18:34:25+00:00,Here's how Chinese residents are entertaining themselves while on lockdown #coronavirusindia #PrecaucionVial #chinesevirus @ChinaDaily #FridayThoughts
FULLDEFENCE,2020-01-30 18:31:09+00:00,CDC Confirms First Case Of Person-to-Person Transfer of Deadly Chinese Virus Inside USA https://newsthud.com/cdc-confirms-first-case-of-person-to-person-transfer-of-deadly-chinese-virus-inside-usa/
AshleyNatter,2020-01-30 18:30:49+00:00,"Because it's a Chinese virus, and we don't know anything about the Chinese whatsoever, maybe the virus knows Kung Fu!"
Jay_Mayedpd,2020-01-30 18:30:33+00:00,"This is what I've been saying, my classmate has been calling it ""the shitty chinese virus"" so I had to cuss cuz that's so wrong "
trust_ati,2020-01-30 18:30:27+00:00,Good product sales but #soybeans disappoint in spite of some PRC biz; demand worries from Chinese virus weighs: March: -$.15; May: -$.1450; March Meal: -$4.30; May: -$3.70
1055WDUV,2020-01-30 18:30:02+00:00,What are you more concerned about - flu or coronavirus? #flu #coronavisus #flueseason #innoculations #vaccines #Chinesevirus #traveladvisory #surgicalmasks #uselessmasks https://bit.ly/2OaI9X4
maalmaker,2020-01-30 18:29:26+00:00,This Chinese virus is spreading like wildfires walaai.
NeonNettle,2020-01-30 18:28:31+00:00,CDC Confirms First Case Of Person-to-Person Transfer of Deadly Chinese Virus Inside USA READ MORE: 
IMAKOS,2020-01-30 18:27:53+00:00,"Trump here enjoy Chinese virus’ could have been spread by bat soup after disturbing footage emerges https://www.standardmedia.co.ke/article/2001357665/chinese-virus-could-have-been-spread-by-bat-soup-after-disturbing-footage-emerges The deadly coronavirus, which has already killed 17 people, could have been spread by bat soup - a popular delicacy in Chinese city Wuhan."
