user,created_at,text
IzabelaStrauss,2020-03-30 23:54:09+00:00,Thanks Mr. President @realDonaldTrump and the United States of America for cleaning up the mess of the chinese virus with technology.
BabaYaga151,2020-03-30 23:54:08+00:00,"fake. news. panic. porn. Profiting, ratings spikes & personality recognition directly the result of the uptick in spreading heightened fear regarding the Chinese Virus. Peddling in fear tactics and misinformation to cause a specific negative outcome."
honornc,2020-03-30 23:53:59+00:00,BREAKING: Another casualty of the Chinese virus: Millions of husbands are seeing their wife's true hair color for the 1st time spanning decades b/c salon employees are not deemed essential. Dedicated to all salon workers out of work &amp; husbands who don't give a sh&amp;t. 
InevitableDr,2020-03-30 23:53:21+00:00,Taiwan is a country Taiwan has done great in containing the virus #Taiwan #ChineseVirus #WuhanVirus #ChinaLiesPeopleDie
bobeames4,2020-03-30 23:53:20+00:00,What a total scumbag. This 80y.o. Skunk is positioned perfectly to be taken out by Chinese virus. Poetic justice.
fAcTsMaTeR,2020-03-30 23:53:18+00:00,I'm going to buy a MyPillow when this Chinese Virus is put down. 
sadir_Palwan,2020-03-30 23:53:15+00:00,"Two poor dogs are taken by force by Chinese police. They will most likely be killed. Evil Communist #Chinese regime doesn’t respect any rights of human &amp; animals. It spread #ChineseVirus to the world, building #ConcentrationsCamps &amp; enslaving #Uyghurs."
tweetingbjoe,2020-03-30 23:53:09+00:00,Hey everyone go check out the new website...chinesevirus.gov
InevitableDr,2020-03-30 23:53:09+00:00,Taiwan is a country Taiwan has done great in containing the virus #Taiwan #ChineseVirus #WuhanVirus #ChinaLiesPeopleDie
TheDannyCage,2020-03-30 23:52:43+00:00,Anybody who ever called it the Chinese Virus is an idiot. Anyone who still calls it that should have their junk slammed in a drawer.
Lbstrdvr6,2020-03-30 23:52:32+00:00,"Umm, excuse me genius, but less than 2 weeks prior WHO was advising that the Chinese virus could NOT he transmitted person to person..."
Anne_2019,2020-03-30 23:52:16+00:00,exactly! #covid19 #coronavirus #chinavirus #ChinaLiedPeopleDied #ChineseVirus
AndrewC47126578,2020-03-30 23:52:12+00:00,"Physical greetings (kissing, etc) and crowded train stations would seem obvious places to get a higher amount of virus particles required for the 'infectious dose'. If you caught the Chinese Virus from remote/incidental contact (LOW infectious dose), the attack on your system..."
freedomusa27,2020-03-30 23:51:53+00:00,"The truth is harsh, but effective! New York is not the only state in America and New Yorkers were traveling to other states spreading the Chinese virus!! "
EhRadioCanada,2020-03-30 23:51:53+00:00,@AndrewScheer just in case you missed it watching Canadian media THIS IS CANADIAN MEDIA EHR 657 Morning moment Chinese virus or is it Canadian? Jan 29 2020 https://www.spreaker.com/episode/22177638 https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
lemro16,2020-03-30 23:51:52+00:00,"If you want to find the real cunts on Twitter, do a wee search for “Chinese virus” “wuhan virus” “Londonistan” “wee nippy” and “Ian smart”"
TerriTblack,2020-03-30 23:51:22+00:00,Texas Tech Prof. Would ‘Reconsider‘ Atheism if Donald Trump Dies of Chinese Virus https://www.breitbart.com/tech/2020/03/30/texas-tech-prof-would-reconsider-atheism-if-donald-trump-dies-of-chinese-virus/ via @BreitbartNews
Spennybailey1,2020-03-30 23:51:16+00:00,Texas Tech Prof. Would 'Reconsider' Atheism if Donald Trump Dies of Chinese Virus https://www.breitbart.com/tech/2020/03/30/texas-tech-prof-would-reconsider-atheism-if-donald-trump-dies-of-chinese-virus/ via @BreitbartNews
shazuka,2020-03-30 23:50:54+00:00,"He thought it would boost his image and was on the brink of a huge new trade deal with China. That's the profit for him. He's just really...really dumb...and narcissistic. He thought it would just be a ""Chinese Virus"". He ignored all the warnings and fucked himself."
Anne_2019,2020-03-30 23:50:36+00:00,Horowitz: New York responds to coronavirus by releasing sex offenders. Texas has a better idea https://www.conservativereview.com/news/horowitz-new-york-responds-coronavirus-releasing-sex-offenders-texas-better-idea/ via @RMConservative #covid19 #coronavirus #chinavirus #ChinaLiedPeopleDied #ChineseVirus #democratshateamerica
KenCouch6,2020-03-30 23:50:30+00:00,"AUNT NANNY ""THE CHINESE VIRUS"" TO ABORTION RATE? ""CRICKETS"" "
yogendrapal72,2020-03-30 23:50:10+00:00,Thread by @natashjarathore: THREAD WARNING: READ AT YOUR OWN RISK. #coronavirus #coronarvirues #CoronaOutbreak #Wuhan #China #COVID19 #India #COVID #coronavirusindia #CoronaVirusUpdate #ChineseVirus #WuhanVirus
DamoPelham,2020-03-30 23:50:06+00:00,Why do you keep calling this the Chinese Virus? #ChineseVirus #ChinaLiedPeopleDied #CCPVirus #WuhanVirus
deplorablearmyg,2020-03-30 23:50:05+00:00,"I figured I wouldn’t post as much because of this Chinese virus and sympathize but after the stupidity from the Democrats, I have had enough. Democrats are stupid, not just stupid, really f’ing stupid!! Why are… https://www.instagram.com/p/B-YHemyghgl/?igshid=1gzi7oii6o7l5"
DonnieMountjoy,2020-03-30 23:50:04+00:00,"I can't believe I am going to use these words but... Now is probably not the time to be talking about the ""Chinese Virus"". Not that we shouldn't have that conversation. We should. Just have it when the battle is won. "
RFord333,2020-03-30 23:49:54+00:00,"This is why calling it ""the Chinese Virus"" was always a racist dog whistle. This is how it causes the dogs to react. "
RaphaelTiriel,2020-03-30 23:49:47+00:00,What I said is that the use of Chinese (location) virus is not racist. What that guy did was brutally grotesque. No race is being targeted and that guy is just ignorant. If you think the Chinese portion of the words the Chinese virus is in reference to race...
sunilanand007,2020-03-30 23:49:30+00:00,It's @ImranKhanPTI sponsoring chinese virus in pakistan now India is no where in picture now
harrywolf07,2020-03-30 23:49:12+00:00,"Sorry man, Chinese people you love so much have trouble making that distinction when you call it the Chinese Virus. Trump and the MAGA Hats think they are owning the Libtards not realizing they are offensive to people not gov. U can't be racist to President... I like #COVID45"
RybakRys,2020-03-30 23:49:07+00:00,"Hillary would say about Chinese virus; ""At this point what difference does it make?"". "
AssaultFrontal,2020-03-30 23:48:58+00:00,"When they start contracting #ChineseVirus, lock them all up in the mosque one after another &amp; quarantine so they don't infect others. No public health assistance shd be provided which others need. Allah can decide their fate."
Angelo32279415,2020-03-30 23:48:53+00:00,More viruses made in china coming. https://www.washingtontimes.com/news/2020/mar/30/china-researchers-isolated-bat-coronaviruses-near-/ #WuhanCoronaVirus #ChineseVirus19 #Coronavirustruth #ChineseVirus #WuhanHealthOrganisation #tuckercarlsontonight #TheFive
CBlighty,2020-03-30 23:48:51+00:00,"Show me the evidence that this virus originated in America as you claim. This Chinese virus that originated in China, just 20 miles from a Chinese Bio Weapons Lab and spread throughout the world during Chinese new year."
DianaCale3,2020-03-30 23:48:33+00:00,"Marsha, stop calling it the Chinese virus!! Racist ass. Don't you have anything else to do, like worry about your state's needs in this time of crisis?"
empoweredanded1,2020-03-30 23:48:32+00:00,"The official term for the corona virus is COVID-19 but the President has called it the ""Chinese virus."" Is he racist for calling it the ""Chinese Virus?"" Or is he calling it that because of the virus's origin? "
RitasArtCafe,2020-03-30 23:48:19+00:00,But with India’s Islamist #sheroes #COVIDIOTS &amp; their obsession with religious meetings defying #lockdown21 #lockdownIndia India is always on the back-foot when it comes to “China to India” strategy - #coronavirusindia #ChineseVirus #coronavirus #COVID19
phyllis_sbc,2020-03-30 23:48:06+00:00,And yet you say the Chinese virus is overhyped???
lchinu89,2020-03-30 23:47:28+00:00,.@realDonaldTrump the Chinese virus 
konkani15,2020-03-30 23:46:55+00:00,"Kerala gov sprayed antiviral for #ChineseVirus and in UP, gov sprayed #ChinaVirus laced water ,if that makes you happy so be it."
CareFreeKali,2020-03-30 23:46:46+00:00,.@ChinaDaily @XHNews @chinaorgcn I demand you to pay my rent for causing this mess. #ChineseVirus
