user,created_at,text
DArmstrong55,2020-02-28 16:56:02+00:00,#CoronaVirusUpdates #anitivaxx My children have been Save from the corona virus Because We Stood firm against the big pharma and refused all vaccinations!!! We only need God to protect us from the chinese virus!!!! These orientals should die under the bridge!
Jamal___James,2020-02-28 16:53:18+00:00,He's gonna need a scapegoat if this gets worse: Bernie the commie Democrat hoax virus Powell the Stingy Obama the Satan Chinese virus weapon lab Cruise ships of death
CLN20001003,2020-02-28 16:49:43+00:00,"Why should China apologize to the world! Why are you called ""the sick man of Asia""? Why call the virus the Chinese virus! "
augustineku6,2020-02-28 16:40:54+00:00,"President, it’s not enough to thwart Chinese virus. We should have more solution, e.g. 3th country into US and apply one huge of money for CDC!!"
mercysalty,2020-02-28 16:40:38+00:00,Bruh want us to believe a Russian guy talking about a Chinese virus https://twitter.com/AbdullahK5/status/1233169473122656256
mengkexsxs,2020-02-28 16:36:03+00:00,chinese virus's going to kill Australian soon
JimBovard,2020-02-28 16:33:54+00:00,Survey shows 38% of beer drinkers now refusing to drink Corona beer because of Chinese virus. The real question: Is this boycott boosting sales of Raging Bitch IPA? 
mynmisoli,2020-02-28 16:28:18+00:00,Yeah it’s Trump’s fault that a chinese virus has caused a stall to Chinese tourism and import/export goods which has affected the American economy. How dare he. Wanna bet that the economy will recover in a few months??
GregShook64,2020-02-28 16:24:04+00:00,Chinese virus kills stocks. Haven’t heard any arguments against globalism yet.
LadybirdJustice,2020-02-28 16:06:35+00:00,"Democrats are disgusting. Politicizing a Chinese virus? China let it escape, not us! We have ZERO deaths. Trump acted FAST while Democrats did NOTHING!! They didn’t even attend the early briefings because they were all about the impeachment coup."
chabailey,2020-02-28 16:05:36+00:00,"Black writes re Bloomberg set up as ""the redeemer of Trump’s (increasingly well-satisfied) America."" He must've drafted this thought before Trump's presser wherein he took charge of the Chinese virus and put candystriper Pence in as Plague Czar."
AsperGenus,2020-02-28 16:01:35+00:00,Imagine being so desperate you blame the winning president for a Chinese virus lmfao. I am having such a good time with these goofs!!
theUKtoday,2020-02-28 16:01:29+00:00,"The #chinesevirus has now killed another person from the cruise ship, this time a British male."
chayxe,2020-02-28 15:54:31+00:00,"Sad thing is We all saw the Corona to be a ""Chinese virus"" Way back when it occured in early January Laughing and just minding our business Today almost last day of February And it's causing worldwide fears"
OlePundit,2020-02-28 15:50:49+00:00,"Corona virus is not a ""Chinese virus"" by the fact that it could infect any one. As we are speaking, their is an outbreak in Italy, in Iran even the vice president and Deputy finance minister are sick, one ambassador is dead, miles away from the epicentre. So let us try to(thread) "
MagalyZela,2020-02-28 15:45:11+00:00,Ok so let’s all stay home until this Chinese virus is gone! 
adamfehr1,2020-02-28 15:40:32+00:00,And a chinese virus is to blame
ArthurBoyt,2020-02-28 15:26:06+00:00,Chinese Virus' aside We are living in golden times despite what far left twitter nutters say. Big Daddy Don and Uncle Boris - Best POTUS &amp; PM ever. Best team team up since Superman/Batman. #trump #DonaldTrump #boris #BorisJohnson
vince_whirlwind,2020-02-28 15:16:37+00:00,"Mexican beer, Chinese virus....just goes to show the intelligence of Americans, sadly 38% of Americans are dumber than a rock "
Fiddle0fGold,2020-02-28 15:14:31+00:00,I don't drink Mexican beer cause if a Chinese virus outbreak. The levels of stupidity in the Trump base is astounding. I don't drink it because I prefer good beer but whatever.
fretlessjimfla,2020-02-28 15:10:25+00:00,Doesn't California have their own disease-ridden Sanctuary Cities? What a great breeding ground for this Chinese Virus.
JohnGal83864828,2020-02-28 15:07:25+00:00,"Let's talk #coronavirus facts, not your opinion of the @POTUS and his staff: COVID-19 in USA: 0 Deaths 2 Person-to-Person 12 Travel related So what is Mulaney saying and is it logical? The Ds are blaming Trump for a Chinese virus that has infected 14 Americans. "
motivepwr,2020-02-28 15:00:56+00:00,"If this market continues, it will be blamed on Trump (‘it wasn’t me it was the Chinese virus!!) and “capitalism” and Bernie will be the our next president. I heard someone warning about this a few years ago. cc: @PeterSchiff"
Bahma14,2020-02-28 15:00:36+00:00,niggas be chuggin beer when theres a chinese virus going around. ur worried about the wrong corona bro
doc_sommers,2020-02-28 14:56:04+00:00,Good morning to all true Trump Patriots. The Chinese Corona virus I’ve always used the Nation’s name in-front of this Chinese made CoronaVirus-19 Anyone who wanted to put Put our President name on This Chinese Virus is just plain Wrong the Dem’s are grasping At anything.ha
battleaxe1959,2020-02-28 14:46:54+00:00,Dying from a Chinese virus.
VickyLynnSulli1,2020-02-28 14:45:04+00:00,He cant tell all hes doing. It causes more roadblocks to be set up by MSM or Dems. But Chinese virus didnt start in President Trumps office. Hes doing more than you or I. He does everyday. 
Danarogon,2020-02-28 14:37:41+00:00,Don't worry. The movie is going to tank anyways because of the coofvirus. No one will wanna see a crappy Chinese movie while everyone is panicking over a Chinese virus xD
DanCChamberlain,2020-02-28 14:14:06+00:00,"David, I am cheerful. I bought a load of stocks yesterday... I'm trying to tell the people they are silly little shits if they are panicking over this Chinese virus."
RICHKILLERTRON1,2020-02-28 14:06:37+00:00,"There stressing everybody up with Brexit, Ir35, Chinese Virus, Massive Astoroid, Global warming, what next,"
KevinBu34204077,2020-02-28 13:53:33+00:00,"The next Congressional ""break"" is what makes funding Chinese virus measures urgent for Democrats! Otherwise, they would dawdle, hoping to embarrassing the President. This is literally criminal negligence!"
Engerlandm8,2020-02-28 13:48:48+00:00,Using a Chinese virus to own Trump 
LovesUncle,2020-02-28 13:41:30+00:00,They now call in and ask real Serous questions - we all know Democrats are the real backbone of America who get things done and talk sensible - Republican rhetoric doesn’t fix you when you are dying from a Chinese virus - sensible Democratic healthcare does !
hina570,2020-02-28 13:30:53+00:00,i wonder why old people who absolutely look sick go outside even though they don't feel fine. Do they know that they might easily get Chinese virus?
Reesacole,2020-02-28 13:25:27+00:00,"They also blame him for fires, floods, hurricanes, and earthquakes. Of COURSE they're blaming him for a lab-created Chinese virus."
Nevil_Clavain,2020-02-28 12:48:06+00:00,Lol I Haven’t heard anyone say it was Chinese. I guess the Hunan weapons lab conspiracy would make it a chinese virus.
KingBee0102,2020-02-28 12:40:35+00:00,"Coronavirus is leftist media hype to crash markets before November as it's their only chance to defeat Trump. In the last week US market down 12%, Asian markets down 3-5%. Why the hell are Americans more scared of a chinese virus than the asians? #COVID19US #StockMarket"
mikeyoch,2020-02-28 12:10:46+00:00,"Mum,interesting ,well it is if you ignore it was more than likely created in a Chinese virus/Bio weapons lab.Then,not so much.Keep up the stellar work."
Stephen57955517,2020-02-28 12:09:01+00:00,Nah it’s what WADA said. I don’t think any Chinese person has the right to talk about what other countries media say. Your media suppressed the Coronavirus now your Chinese Virus is global. You’re not allowed to talk about stuff like the Hong Kong protests... wonder why... 
elijahsmantle1,2020-02-28 11:54:12+00:00,"It's Friday, another day proving liberals have gotten more evil. Blaming Trump for a Chinese virus Sensationalizing abortions Promoting a gay candidate Promoting a demented socialist And punishing Christians. Yup, America, judgement is coming."
AlanRee25606923,2020-02-28 11:22:10+00:00,Time for our borders to be protected by our military. Especially with the Chinese virus and all
KountessVonKink,2020-02-28 11:17:58+00:00,There is no messing around with the Chinese virus-fighting SWAT team... My friend from Hongkong just posted this. #coronavirus
shamrez109,2020-02-28 10:57:54+00:00,Govt of Pakistan should use him against Chinese virus...he will also be tested.... 
SimonIshihara,2020-02-28 10:36:22+00:00,Hokkaido governor declares 'emergency' | NHK WORLD-JAPAN News https://www3.nhk.or.jp/nhkworld/en/news/20200228_40/. JAPAN CHINESE VIRUS PANDEMIC INFECTING MORE DAILY. HAWAII IS ASKING ITS GOVERNOR DAVID IGE TO “GET OFF HIS HORSE AND SPEAK TO PEOPLE OF HAWAII?
ODzerzawa,2020-02-28 10:28:09+00:00,Next Trump will try to use a 25% tariff on this Chinese virus...He is stupid enough to believe this will work
